,altitude,wind_u,wind_v,wind_speed,wind_direction_degree
0,7.0,-2.9544232,0.5209446,3.0,100.0
1,7.0,0.2079113,-0.9781477,1.0,348.0
2,306.0,-3.6939688,4.7280645,6.0,142.0
3,335.0,-3.526711,4.854102,6.0,144.0
4,675.0,-1.8469844,2.3640323,3.0,142.0
5,950.0,-0.7986355,0.6018151,1.0,127.0
6,1013.0,-0.0,-0.0,0.0,0.0
7,1130.0,-0.6819984,-0.7313537,1.0,43.0
8,1166.0,-0.5,-0.8660254,1.0,30.0
9,1374.0,-0.77645713,-2.8977776,3.0,15.0
10,1733.0,1.6632904,-7.8251815,8.0,348.0
11,2096.0,5.5572658,-5.7547197,8.0,316.0
12,2448.0,9.97564,-0.6975657,10.0,274.0
13,2779.0,12.968332,-0.9068354,13.0,274.0
14,3087.0,12.0,-1.4309856e-07,12.0,270.0
15,3368.0,13.787309,2.431074,14.0,260.0
16,3696.0,16.997412,0.29668903,17.0,269.0
17,4059.0,17.964853,6.1857953,19.0,251.0
18,4384.0,18.840498,13.192256,23.0,235.0
19,4715.0,20.808056,18.735655,28.0,228.0
20,5076.0,19.283627,22.981335,30.0,220.0
21,5143.0,18.879614,23.314377,30.0,219.0
22,5449.0,19.283627,22.981335,30.0,220.0
23,5825.0,19.681772,22.641287,30.0,221.0
24,6195.0,19.283627,22.981335,30.0,220.0
25,6554.0,20.337831,23.395996,31.0,221.0
26,6903.0,19.258087,25.556332,32.0,217.0
27,7283.0,21.665348,28.750874,36.0,217.0
28,7677.0,23.914177,29.531546,38.0,219.0
29,8092.0,23.914177,29.531546,38.0,219.0
30,8511.0,26.242363,30.188381,40.0,221.0
31,8946.0,30.716856,28.643932,42.0,227.0
32,9325.0,32.45252,28.210531,43.0,229.0
33,9710.0,32.698376,29.441742,44.0,228.0
34,10070.0,32.370293,31.259624,45.0,226.0
35,10457.0,31.819801,31.819807,45.0,225.0
36,10833.0,35.23805,29.568226,46.0,230.0
37,11216.0,34.92781,31.449133,47.0,228.0
38,11597.0,37.30301,30.207375,48.0,231.0
39,11982.0,38.080154,30.836697,49.0,231.0
40,12294.0,38.302227,32.139378,50.0,230.0
41,12333.0,38.302227,32.139378,50.0,230.0
42,12379.0,38.080154,30.836697,49.0,231.0
43,12753.0,38.612526,30.167414,49.0,232.0
44,13111.0,36.004093,30.211014,47.0,230.0
45,13460.0,35.938595,27.081682,45.0,233.0
46,13850.0,35.596752,25.862543,44.0,234.0
47,14214.0,34.40439,24.090206,42.0,235.0
48,14587.0,33.585236,23.51663,41.0,235.0
49,14960.0,31.945417,24.072607,40.0,233.0
50,15362.0,32.356586,15.781355,36.0,244.0
51,15736.0,25.579271,11.388626,28.0,246.0
52,16128.0,27.371374,14.55362,31.0,242.0
53,16503.0,21.650637,12.499998,25.0,240.0
54,16632.0,21.865494,12.12024,25.0,241.0
55,16887.0,23.070282,6.615293,24.0,254.0
56,17243.0,19.318518,5.1763797,20.0,255.0
57,17627.0,16.112917,10.06846,19.0,238.0
58,17980.0,12.135257,8.816776,15.0,234.0
59,18374.0,10.238952,9.547977,14.0,227.0
60,18809.0,7.263849,14.256104,16.0,207.0
61,19196.0,8.6602545,4.999999,10.0,240.0
62,19578.0,3.3161504,2.2367716,4.0,236.0
63,19945.0,3.5000012,6.0621767,7.0,210.0
64,20312.0,3.9363546,4.5282574,6.0,221.0
65,20702.0,-1.4553813,6.8470335,7.0,168.0
66,21099.0,-4.120304,6.8573384,8.0,149.0
67,21510.0,0.8350401,5.9416084,6.0,188.0
68,21904.0,2.6963823,1.315113,3.0,244.0
69,22086.0,0.9945219,-0.10452836,1.0,276.0
70,22126.0,0.1908087,-0.9816272,1.0,349.0
71,22297.0,-1.312118,-1.5094192,2.0,41.0
72,22692.0,-3.4641018,-1.9999999,4.0,60.0
73,23108.0,-8.290375,5.5919304,10.0,124.0
74,23524.0,-1.9890438,-0.20905684,2.0,84.0
75,23950.0,-8.932916,-1.0968239,9.0,83.0
76,24385.0,-8.950697,-0.9407558,9.0,84.0
77,24481.0,-9.975641,-0.6975651,10.0,86.0
